nombre;precio_normal;precio_promocional;precio_CMR;descuento;paginacion
Samsung Galaxy A10 S Rojo;$ 600.000;$ 589.900;null;-1%;3
Celular Samsung A01 Rojo;null;$ 550.000;null;null;?
Apple iPhone 6SP(128GB)  Rosa dorada;$ 2.080.153;$ 1.459.128;null;-29%;13
Smatphone TP-Link Neffos C9A Dual Sim-Pl...;$ 499.900;$ 299.900;null;-40%;
Celular Samsung A01 Azul;$ 550.000;$ 469.900;null;-14%;2
telefono celular blu tank ii t193 libera...;null;$ 204.990;null;null;?
Celular Alcatel 3X, 32GB, 3ROM, 4G LTE,...;$ 499.900;$ 349.900;null;-30%;2
Apple iPhone 7 32GB-Negro Brillante;null;$ 2.000.000;null;null;8
Samsung Galaxy A30S 64 GB 4 GB Dual Sim-...;$ 780.000;$ 749.900;null;-3%;3
Apple iPhone 7(128GB)  Oro;$ 1.923.629;$ 1.458.388;null;-24%;?
samsung S9+ G965FD 6+64G  Púrpura;$ 3.268.441;$ 2.145.242;null;-34%;10
Celular Hyundai E553 16GB Dual Sim Card...;$ 399.900;$ 279.900;null;-30%;11
"Redmi Note 9S 6GB+128GB 6.67"" 4G Smartph...";$ 1.578.800;$ 1.088.800;null;-31%;?
Celular LG K51S 64GB;null;$ 699.900;null;null;11
Celular Motorola One Action 128 Gb 4 Gb...;null;$ 1.189.900;null;null;2
"GALAXY S7 5.1"" 32gb 4gb Ram Lte 12MP - P...";$ 990.600;$ 650.900;null;-34%;5
Iphone 11 Pro Max 64GB Gold/Oro Unlocked;$ 6.999.000;$ 5.999.000;null;-14%;13
Apple Iphone Xr 64gb Blue/Azul Unlocked;$ 4.999.999;$ 3.229.000;null;-35%;?
Galaxy S7 Edge 32GB 4GB RAM - Dorado;$ 1.323.900;$ 890.900;null;-32%;5
Celular L502 Dorado Hyundai;null;$ 344.900;null;null;?
SAMSUNG A30S SM A307G/DS 64GB BLANCO;$ 780.000;$ 749.900;null;-3%;5
iPhone 7 32GB - SemiNuevo- Black Matte;$ 1.299.990;$ 799.990;null;-38%;
CELULAR LG Q60 64 GB DS 4G AZUL;$ 720.000;$ 549.900;null;-23%;
Celular Movic HERO 3 blanco;$ 190.000;$ 150.000;null;-21%;2
Celular Apple IPhone 7 32GB-Negro Mate;null;$ 2.799.900;null;null;8
"Galaxy S6 - 5.1""- 32GB - 3GB RAM Pantall...";$ 699.000;$ 560.000;null;-19%;5
Apple iPhone 11 128 GB Color Verde;$ 4.599.900;$ 3.599.000;null;-21%;2
Cat S41 Smartphone Caterpillar;$ 2.200.900;$ 1.949.900;null;-11%;?
IPhone 7 Dorado 32GB;$ 1.700.000;$ 1.549.900;null;-8%;3
Apple Iphone 11 64GB Verde/Green;$ 5.600.000;$ 3.600.000;null;-35%;?
samsung S8 G950FD 4+64G Azul;$ 2.267.241;$ 1.550.264;null;-31%;10
Celular LG K61 Titanium 128GB;null;$ 999.900;null;null;11
Tarjeta de sonido USB Clear and Clear 3D...;$ 69.506;$ 49.790;null;-28%;12
Celular  Honor 7S  16 GB – Azul;null;$ 399.900;null;null;2
Control Gamepad Dobe TI465 Gamepad Bluet...;$ 95.000;$ 75.000;null;-21%;12
Apple iPhone 7P(32GB)  Negro brillante;$ 2.462.665;$ 2.018.540;null;-18%;13
Xiaomi POCO F2 Pro 6GB 128GB Versión Glo...;$ 3.688.499;$ 2.543.789;null;-31%;?
Apple Iphone Xr 64gb Coral;$ 4.999.999;$ 3.229.000;null;-35%;?
Xiaomi Mi 9T  6GB RAM +64GB ROM- Rojo;$ 1.999.000;$ 1.490.000;null;-25%;4
